710650,F2Pool,min relay fee not met,11887bfc724d3486b7da3e70cf13cc992f16e25273b3a685a70a7890957310e5,3837,21,2,0
710650,F2Pool,tx-size,d14e258ec70352a14cf08c1a0ceb4e8233b68c33d7273992ebc0581be8d400c9,145229,1,4404,0
710673,ViaBTC,min relay fee not met,43d1badc64a7b85f3492bfcab84172704487b715d43faab47a49fac2593962b9,168,1,2,167
710673,ViaBTC,missing-inputs,aeb0d215613ee7c834086e63a56dade1cdb2835ad07c4b148412f77c6ab1cb5b,168,1,2,334
710791,F2Pool,min relay fee not met,719bbb827e38934dfafd5ba6f375e5274d3ae827d44b111cfd52fa28578c1f79,3658,20,2,0
710791,F2Pool,tx-size,cb6d920f5efa9c5ca1cb78d09080d81e96c397009577d3c503f1da08b52d63cb,143519,1,4360,0
710921,F2Pool,min relay fee not met,c92e4d8f9dc1e68c643d5b795bd07c96956e51df46cc20479b260c1a2b7c4e1d,3837,21,2,0
710921,F2Pool,tx-size,757c2916795627be225c8e88f2e6ddf9c18929290a6bbab76fad4360d54f0798,146993,1,4458,0
711042,ViaBTC,min relay fee not met,600d76b66360da4acc959ddddcb216c2a7b042d5a0563f1e8c2d6eb999525614,710,7,2,435
711042,ViaBTC,missing-inputs,db2c0e24a79f41b94168e513348a5ec34c9331401bc01c0964f1f6809381df1b,258,2,2,435
711042,ViaBTC,missing-inputs,adb83b09cbb906c274cf3164883bc8ad88a5c0a2619c40b36e9e883931fe157f,349,3,2,434
711042,ViaBTC,missing-inputs,63a1f797c09db450106290787fd611bb10bbbcb672e833c264dd3d47a62d89dd,168,1,2,435
711042,ViaBTC,missing-inputs,ba57323d2c5ad5905da0b08b39b95be410c25d4a6d1a0f59945a7f7420bd2f9e,256,2,2,436
711042,ViaBTC,missing-inputs,946ba73bb6405579265af8d75f4b340aaadb061c75896646076e860b135b4f06,256,2,2,436
711042,ViaBTC,missing-inputs,65aaf611e6ab0841b1d95b8b543da3f09df28902bcefaac9b674ce8200281196,168,1,2,434
711050,F2Pool,min relay fee not met,e1a34b3c6920db4e24a421a85f85298e2e12a344caffa959089c721a539d0512,3837,21,2,0
711050,F2Pool,tx-size,49d6359c2fab52627878ef7936a29ea4ce76dab765ca73360e3474c51620e98c,142766,1,4332,0
711212,F2Pool,min relay fee not met,bdd6d8305c18585b23b53eb0d3bad28f230bb8641ee265737faa3a56d5e96839,4374,24,2,0
711212,F2Pool,tx-size,b460f758881bd1dd03da99ce6fb465637cbdcf6c6bb4664a4fedaf18d033e57f,142970,1,4336,0
711333,F2Pool,min relay fee not met,0f7282e2e10f67d248e6b515418cf214a88db0e8ee325aa17a6e10ee8ec5de65,2584,14,2,0
711333,F2Pool,tx-size,c2386423d0926c2cf7d2c7051becded9028faf90884a5a60b6e29e93cb73bdcb,131735,1,4004,0
711444,F2Pool,min relay fee not met,5a9484fd7cd6d0e09bee6f7af84c5cc9e5dcec72f21e696f322771e89ee8f7ed,142,1,2,130
711444,F2Pool,missing-inputs,880e8fa27c53cd3706dd954fc511fb6e745fc0b00f48cc028139f273723f25ce,110,1,1,410
711470,F2Pool,min relay fee not met,faf51769dd92d491d990688e21427030c7480b3cca6c6b089765d030ba4e3200,4911,27,2,0
711470,F2Pool,tx-size,262b51e74cc97916b6e6a79166e0859c9ad69c5ce8f2dbe5aed9929742137e1f,120330,1,3659,0
711484,EMCDPool,min relay fee not met,b1360f73a7a990d5210ac43482ec4de83b76c3932522702dca6b9bb5f6468261,14262,96,3,7400
711484,EMCDPool,missing-inputs,05abfed93a56683ac909e1e0142c0f90f1180e04ba42b18841abcc7c820809d0,256,1,3,22800
711607,F2Pool,min relay fee not met,02ddc7cd330426485c441c678bbd0d69d83c709609d2083ab87e867723bd4bc8,3479,19,2,0
711607,F2Pool,tx-size,d7d42631d8d6da3f5d22660bf53fd021e9eb44831fff80e16609eec0476456de,125209,1,3810,0
711688,ViaBTC,min relay fee not met,61a85f5764716e4dc6be1a0327dedfee3f8f3833c8d4f55e88b0bcde3c9c5414,166,1,2,165
711688,ViaBTC,missing-inputs,cf3ed1b833a00f7fd9bbde37e510adb8ffe0239e2a7edd91c53bf4b18929eba2,166,1,2,330
711749,F2Pool,min relay fee not met,96fbd0189db85ddd2c1869655e384a7726b34e458c4178881c332f293582a671,4374,24,2,0
711749,F2Pool,tx-size,fe0d551f9f94dad76788de7849e882ac5565999b58ef6ca119c5017973aba11a,130085,1,3964,0
711895,F2Pool,min relay fee not met,5b77fa823a7ee638f091951c4d1abf5e8e8db36a99ab5914e8ba874795f28b19,3658,20,2,0
711895,F2Pool,tx-size,9dee512841e1d710c85edda36fb5b611be8c3ae3e484a26a76824fbeb1857b72,130989,1,3996,0
712017,F2Pool,min relay fee not met,44335aef14233becb8290bf6455e79de921075f84834e15ef978a130016b4db9,144,1,2,0
712032,F2Pool,min relay fee not met,bbfb50bdf0dd2158968468dd99800aeb9d14f6f8a87547fab0d7d00041ef7e1b,2584,14,2,0
712032,F2Pool,tx-size,75aafe2fd84190b2cad57d88eca79d6b1fe0ed506ae33c1e4f9c6653f0de39be,128897,1,3929,0
712162,F2Pool,min relay fee not met,a21dded7dbbe22f2eea162c925714cf9b50c47bfd714b909228294ea65da1acc,2763,15,2,0
712162,F2Pool,tx-size,733bd936fea348f7e789c64a1a8e30c54de8587e6a0d6f240757f6df975b19bb,128149,1,3905,0
712307,ViaBTC,min relay fee not met,5b15a9a76af42364883e0909bac26007e78997bd9d63915bc759d359ddf094b8,373,2,2,254
712307,ViaBTC,missing-inputs,865090bd5d3c07d934ebd2094f3badb66b889b905de7532c20aa471cf8fc5f7a,225,1,2,254
712307,ViaBTC,missing-inputs,b2ea3e224772b06bdf31abf3cb3b8f632f0810e59c61b9e426d900ddff8fd153,226,1,2,254
712307,ViaBTC,missing-inputs,2cb9080ede2870a40a8d09f3b2368aadecedf1d9fb03556636cce0f0d353e1c6,372,2,2,254
712307,ViaBTC,missing-inputs,2acd6999a967097e3234c8ea85a73a7ee7b13a77e360c5af0d4e4a0e1f21e238,226,1,2,255
712307,ViaBTC,missing-inputs,a78f8c0bbfa02db6e627f1b8744e89a6f7d3033984b8b7f7d07b10b56551a048,373,2,2,754
712307,ViaBTC,missing-inputs,c7b830b7be20bc010e3c2f0f537c898c96a0f1a2eab131b4e10f49938b98387b,373,2,2,754
712307,ViaBTC,missing-inputs,72bbdf997acca747e9356aec2a56529d5512697bb8fa7b86ce13b411edc0088a,372,2,2,1111
712307,ViaBTC,missing-inputs,f79c5eece5f05f3277cfcb44c6b38023cd07fba641a84806090eb229517f544e,226,1,2,1111
712307,ViaBTC,min relay fee not met,125a7c0a5274b19e7f14228d07734d159a11ec4320d86f54366bb1e166d0992c,374,2,2,254
712307,ViaBTC,missing-inputs,b71423ca70788760ea9b9e5d17f478232c265e8288334f365f77f8382cba174f,226,1,2,255
712307,ViaBTC,missing-inputs,c8374ff8c23beedb12ddba133be21f53629c23a63897e6b0aadc938b170df654,225,1,2,254
712307,ViaBTC,missing-inputs,83a48b41bd25ff5f6a3ac766cb9ddc41e44d5eeafe51075ae5fd1df361684c3c,226,1,2,254
712307,ViaBTC,missing-inputs,feb4c12aabd2c4a1fab28c88b93d8fa112446797f1f25043cde086e8b7a4d191,226,1,2,1154
712319,F2Pool,min relay fee not met,80f0e72fc51ef17300bfcb276be4ace2ac07d3f1241d73bd5ff994f774bb1497,2942,16,2,0
712319,F2Pool,tx-size,e369bd1194a6bc1dad0b61252ebfc9bb80895f41468e6074b303798e567ce266,128246,1,3909,0
712488,F2Pool,min relay fee not met,003ac68b9c41e408111c6379efd49a6f9fa1ccd33f88ef60681dad28c8147054,4911,27,2,0
712488,F2Pool,tx-size,89e414cbc1350848d789405755f79c179818644e4198b3a2daacfe9eb1080cbe,127862,1,3898,0
712641,F2Pool,min relay fee not met,27ded871fd9b6bcf21f88bd302016c136c3b25f6689e15409a775815f11c2efc,4016,22,2,0
712641,F2Pool,tx-size,8d45ae9abe35d3a1e45c995fe918a671980c35d6c329cbac023530242d1b7122,127484,1,3889,0
712830,F2Pool,min relay fee not met,9038c3c1a5f7237f0b8bfc454f167470c6712b2eecd95abc426caaaee97ec7c4,3837,21,2,0
712830,F2Pool,tx-size,ebd50bf5a7e0e0c537b54b88263b974c37b04ad25c182f1649765b7aa54c89f8,126963,1,3875,0
712965,F2Pool,min relay fee not met,fd456524104a6674693c29946543f8a0befccce5a352bda55ec8559fc630f5f3,257,1,2,0
712974,F2Pool,min relay fee not met,ea26864ffd1cb9efd54d775884cf1077c494638e70cc251313d5681111c92a78,4732,26,2,0
712974,F2Pool,tx-size,6a5087da54d9070cd6ca7c5e8432800773eafd4a95a825b5f2f8bd45eddb7b85,128398,1,3917,0
713104,F2Pool,min relay fee not met,f62f66505fbb7ba573fb566a1767a6b09a47c529189f0b6b79a864e03cbeeab0,211,2,2,0
713104,F2Pool,min relay fee not met,a78c4bddcf5234cc63e6854141bd69e01081af7288170a58dc054ad48bb6e202,257,1,2,0
713146,F2Pool,min relay fee not met,d41ef711a1cdb4e94bd4c431eba2c17b3c96a5f4b79583a4b7a43def9e3cce50,4195,23,2,0
713146,F2Pool,tx-size,9be07a87027e6e5a825685685a96186e93265255a3693cb12d8cb8c7566b3c29,129270,1,3952,0
713213,F2Pool,min relay fee not met,6972f53e3f787d0a3231032db3c59611ba974795673fdbd59552e9ec7310f7df,144,1,2,0
713248,F2Pool,min relay fee not met,6562208eebd639d8386c954f433e5eeb12f0d9737b2837b44cdd39984189105c,257,1,2,0
713288,F2Pool,min relay fee not met,af058c4b47f0a4b78928201fd69c4300b195de5ff36974050956c59abc8fe2df,760,4,1,0
713339,F2Pool,min relay fee not met,cf96281c5c0d2773a92e6fd333559249592994c07dc690f277874abe8ee6e28c,4195,23,2,0
713339,F2Pool,tx-size,01862f24bceb15bbb82ac21e62148e915fb57df26f373b0b1337f4fb5ad278dc,128285,1,3917,0
713396,ViaBTC,min relay fee not met,bbd840bbd2f618d5b0642f0821e77651b35d97db6778c8d86caba83aab79127e,211,2,2,210
713396,ViaBTC,missing-inputs,6b20e7ef049d09c196208ca3f28fa05979b144bfde3a56d55d5b5c33a44f3e0c,141,1,2,143
713396,ViaBTC,missing-inputs,66642ef691f3a7d046785b59d4adeb18539af9ebfe618426cc3d293e4202f6a9,141,1,2,573
713497,F2Pool,min relay fee not met,f313f0446adfeaa68b0ee5c887f07d15dd4245f11fef1bddbd128d80ecd66e50,4732,26,2,0
713497,F2Pool,tx-size,1446dfe386bf9f9a4897f28e13369c5bb94de642a5e9073af4acdb82f815fc80,128800,1,3936,0
713615,F2Pool,min relay fee not met,7539824302eb3dd6e1a14f7b6e38d24ca7a5268b47b19d13d4744c7d7e575765,3658,20,2,0
713615,F2Pool,tx-size,444322d5af9eb281c39b60b48d4deb7c7f6e24ac0e4003bc4a69a39314a5e7b4,129713,1,3962,0
713731,F2Pool,min relay fee not met,15d41310dd478a1c2a3235e08175edbef254ebc6a1cbbb7d7bc664d6d87b3c91,7352,18,124,0
713775,F2Pool,min relay fee not met,511ecc764a31d8101505917f40f04d823139eee611b0ddd4ea2f875fb49a9779,1868,10,2,0
713775,F2Pool,tx-size,4b1526147afb37fd93215a5cd3c08854ff7afa2e0199ec6540d986f3d6ea3698,121414,1,3708,0
713944,F2Pool,min relay fee not met,a8566629963e18e6567043eaded4cacc3612297fc7f26fe379e30bf982cba02b,3658,20,2,0
713944,F2Pool,tx-size,73739dd9263146909c3679688e0cf5d53f3f3cc4fb4211de587c8c4980332eef,121151,1,3703,0
714024,F2Pool,min relay fee not met,4414052e47f1a5780dfb548427b134a6eebfeccb69d98f598174d76964112e87,198,1,3,197
714024,F2Pool,min relay fee not met,dfbfd128bc2c8a0a4f18714b4fbaa5ab4472faa0ba2440a14a91f6b2b02dab9c,200,1,3,199
714024,F2Pool,missing-inputs,48e59d0241420041ea9cdb333be2f44ff2a268900c4f647c62e9d903e8cc733f,257,2,2,1440
714111,F2Pool,min relay fee not met,1dd87730d075e1fd9448ac34cab723c0f5fc6ba7c322a735dbdf694ad92fca9b,4911,27,2,0
714154,F2Pool,min relay fee not met,3eaad1ce4f1b578b87e2b3fe99998cb72eae88f5cb828f339d7ee3de251a9d54,436,2,2,0
714154,F2Pool,tx-size,131c57e4a8e70e4cbc77fc31f91e1576af2689e2ac55275c3f2b60a8e6141586,122920,1,3760,0
714154,F2Pool,min relay fee not met,6e2211922c9e25ac7dc9e01b82a1f7a35ef9bc98d1ad3250392458738b3e637c,166,1,2,165
714154,F2Pool,missing-inputs,89b1ddc3403b481630ee8de9cafe935d4e3755006c1592667292c295fccc91c9,166,1,2,660
714198,F2Pool,min relay fee not met,763760e4a0767c31402ef966bb4bcd4a7c88d770ffb081b130f448c2b08d6249,257,2,2,256
714198,F2Pool,missing-inputs,cbca769bb8a90c22c1fbf96bd827b45b95eb5eda3e1e2022a1677535cb83ed6a,166,1,2,330
714216,F2Pool,min relay fee not met,e4ea85525be97db10ebef63f1b7de8fb638965d2e49ddde1cd5acac3e454b5d6,3300,18,2,0
714216,F2Pool,tx-size,e98fd482499e704bd3d60f346d3ca651109adcc15fb8865e7761719b15501360,121171,1,3713,0
